City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Pizarro,CO,77.07,light rain,4.9533,-77.366,Hotel Limonar
15,Ribeira Grande,PT,73.45,broken clouds,38.5167,-28.7,Quinta da Meia Eira
17,Rikitea,PF,74.1,light rain,-23.1203,-134.9692,People ThankYou
19,Bengkulu,ID,74.66,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
26,Caravelas,BR,70.88,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
31,Aksu,CN,75.4,clear sky,41.1231,80.2644,Pudong Holiday Hotel
37,Mindelo,CV,76.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
39,Tūkrah,LY,76.91,clear sky,32.5341,20.5791,Lagrota restaurant
41,Atuona,PF,77.31,few clouds,-9.8,-139.0333,Villa Enata
42,Karera,IN,79.77,overcast clouds,25.4667,78.15,श्री हिमांशु जोशी (निवास)
44,Mapiripán,CO,72.27,overcast clouds,2.8892,-72.1256,Monserrate
46,Birjand,IR,72.07,clear sky,32.8663,59.2211,Birjand Tourist Hotel
47,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
48,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
49,Hobyo,SO,75.47,few clouds,5.3505,48.5268,Iftin hotel hobyo
54,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
55,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
56,Vao,NC,73.63,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
59,Balkhash,KZ,75.85,clear sky,46.844,74.9804,Family
66,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
69,São Filipe,CV,74.79,overcast clouds,14.8961,-24.4956,Hotel Xaguate
74,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
76,Matara,LK,76.82,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
79,Tura,IN,74.21,light rain,25.5198,90.2201,Hotel RIKMAN Continental
82,Tianpeng,CN,75.63,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
88,Hithadhoo,MV,79.95,very heavy rain,-0.6,73.0833,Scoop Guest House
92,Palekastro,GR,75.51,clear sky,35.2,26.25,Marina Village
102,Horadiz,AZ,76.26,clear sky,39.4488,47.3353,Horadiz Olympic Center
108,Yellowknife,CA,70.32,broken clouds,62.456,-114.3525,The Explorer Hotel
109,Kumul,CN,73.08,clear sky,42.8,93.45,Laoyutang Resort
116,Natal,BR,75.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
118,Corinth,GR,76.89,clear sky,37.9407,22.9573,Ephira Hotel
127,Takoradze,GH,73.69,broken clouds,4.8845,-1.7554,Raybow International Hotel
134,Det Udom,TH,73.22,broken clouds,14.906,105.0784,Chatsuda Resort
135,Punta de Piedra,VE,74.23,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
141,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
142,Nabire,ID,79.59,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
