,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Narrabri,AU,-30.3167,149.7833,54.52,78,70,5.01,broken clouds
1,Rawson,AR,-43.3002,-65.1023,44.91,52,100,12.97,overcast clouds
2,Pizarro,CO,4.9533,-77.366,77.07,89,97,5.41,light rain
3,Ilhabela,BR,-23.7781,-45.3581,68.13,91,42,7.58,scattered clouds
4,Ushuaia,AR,-54.8,-68.3,29.86,93,75,19.57,snow
5,Avera,US,33.194,-82.5271,89.11,65,100,7.0,overcast clouds
6,Khatanga,RU,71.9667,102.5,52.95,78,100,14.16,overcast clouds
7,Ploemeur,FR,47.7333,-3.4333,65.82,82,0,10.36,clear sky
8,Richards Bay,ZA,-28.783,32.0377,66.18,84,79,6.04,broken clouds
9,Adrar,MR,20.5022,-10.0711,93.06,31,88,2.82,overcast clouds
10,Bethel,US,41.3712,-73.414,90.77,70,0,10.36,clear sky
11,Hofn,IS,64.2539,-15.2082,50.74,87,32,2.42,scattered clouds
12,Jamestown,US,42.097,-79.2353,82.06,58,0,14.97,clear sky
13,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,3.44,broken clouds
14,Port Elizabeth,ZA,-33.918,25.5701,46.69,93,0,2.3,clear sky
15,Ribeira Grande,PT,38.5167,-28.7,73.45,86,52,2.01,broken clouds
16,La Palma,US,33.8464,-118.0467,100.65,55,75,11.5,broken clouds
17,Rikitea,PF,-23.1203,-134.9692,74.1,80,94,23.02,light rain
18,Bredasdorp,ZA,-34.5322,20.0403,47.19,88,100,3.65,overcast clouds
19,Bengkulu,ID,-3.8004,102.2655,74.66,90,82,4.88,broken clouds
20,Saint-Philippe,RE,-21.3585,55.7679,65.21,79,52,12.62,light rain
21,Albany,US,42.6001,-73.9662,90.01,52,20,10.76,few clouds
22,Tubualá,PA,9.5167,-79.0333,76.1,83,100,2.42,overcast clouds
23,Idaho Falls,US,43.4666,-112.0341,93.29,14,0,6.91,clear sky
24,Provincia di Verona,IT,45.4167,11.0333,83.39,39,0,6.91,clear sky
25,Barrow,US,71.2906,-156.7887,46.42,76,75,27.63,broken clouds
26,Caravelas,BR,-17.7125,-39.2481,70.88,83,4,5.97,clear sky
27,Raton,US,36.9034,-104.4391,89.94,22,32,0.49,scattered clouds
28,Oktyabr'skoye,RU,43.0645,44.7417,64.54,93,100,2.24,light intensity drizzle
29,Kungurtug,RU,50.5994,97.5228,52.79,73,78,0.58,broken clouds
30,Huntsville,US,34.7304,-86.5861,95.95,65,0,4.61,clear sky
31,Aksu,CN,41.1231,80.2644,75.4,28,0,4.14,clear sky
32,Ostrovnoy,RU,68.0531,39.5131,54.54,86,96,5.41,overcast clouds
33,Airai,TL,-8.9266,125.4092,57.38,85,98,3.78,overcast clouds
34,Plettenberg Bay,ZA,-34.0527,23.3716,54.95,70,69,3.98,broken clouds
35,Port Hardy,CA,50.6996,-127.4199,59.18,77,40,13.8,scattered clouds
36,Río Cuarto,AR,-33.1307,-64.3499,56.97,44,0,11.5,clear sky
37,Mindelo,CV,16.8901,-24.9804,76.55,73,40,9.22,scattered clouds
38,Chokurdakh,RU,70.6333,147.9167,53.56,35,0,8.86,clear sky
39,Tūkrah,LY,32.5341,20.5791,76.91,78,0,9.53,clear sky
40,Mataura,NZ,-46.1927,168.8643,43.48,94,100,0.98,overcast clouds
41,Atuona,PF,-9.8,-139.0333,77.31,73,14,15.26,few clouds
42,Karera,IN,25.4667,78.15,79.77,83,100,6.29,overcast clouds
43,Pochutla,MX,15.7432,-96.4661,86.83,72,100,3.33,overcast clouds
44,Mapiripán,CO,2.8892,-72.1256,72.27,91,86,3.47,overcast clouds
45,Hilo,US,19.7297,-155.09,83.28,90,75,5.75,light rain
