City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,0,Norman Wells,CA,2022-07-18 20:01:30,65.282,-126.8329,73.98,46,100,4.76
1,1,Khandbari,NP,2022-07-18 20:01:30,27.3747,87.2039,73.24,95,100,0.51
2,2,Zeya,RU,2022-07-18 19:56:46,53.75,127.2667,61.99,94,100,2.8
3,3,Raymond,US,2022-07-18 20:01:32,43.9015,-70.4703,75.15,82,100,6.24
4,4,Ucluelet,CA,2022-07-18 20:01:33,48.9329,-125.5528,60.1,87,96,1.01
5,5,Halifax,CA,2022-07-18 20:01:34,44.6453,-63.5724,78.49,71,79,8.99
6,6,Punta Arenas,CL,2022-07-18 19:58:32,-53.15,-70.9167,41.11,75,20,31.07
7,7,Mahebourg,MU,2022-07-18 20:01:36,-20.4081,57.7,69.26,73,75,18.41
8,8,Krasnoyarka,RU,2022-07-18 20:01:37,55.3333,73.1167,64.35,77,74,8.9
9,9,Geraldton,AU,2022-07-18 20:01:38,-28.7667,114.6,54.01,94,40,8.05
10,10,Ushuaia,AR,2022-07-18 20:01:39,-54.8,-68.3,38.12,85,52,12.84
11,11,Bumba,CD,2022-07-18 20:01:39,2.1833,22.4667,70.86,97,100,2.95
12,12,Ilulissat,GL,2022-07-18 20:01:40,69.2167,-51.1,50.02,66,20,5.75
13,13,Hermanus,ZA,2022-07-18 19:59:57,-34.4187,19.2345,54.81,82,100,4.25
14,14,Rikitea,PF,2022-07-18 20:01:41,-23.1203,-134.9692,74.71,77,25,12.59
15,15,Puerto Ayora,EC,2022-07-18 20:01:42,-0.7393,-90.3518,70.56,91,96,5.99
16,16,Port-Cartier,CA,2022-07-18 20:01:42,50.0334,-66.8654,69.44,70,78,1.86
17,17,Port Elizabeth,ZA,2022-07-18 20:00:16,-33.918,25.5701,63.32,90,39,1.99
18,18,Cabo San Lucas,MX,2022-07-18 19:57:57,22.8909,-109.9124,94.6,65,14,5.99
19,19,Kaoma,ZM,2022-07-18 20:01:44,-14.7833,24.8,53.62,60,56,6.51
20,20,Kapaa,US,2022-07-18 20:01:44,22.0752,-159.319,82.72,80,75,16.11
21,21,Katsuura,JP,2022-07-18 20:01:45,35.1333,140.3,79.03,87,100,19.73
22,22,New Norfolk,AU,2022-07-18 20:01:46,-42.7826,147.0587,41.92,86,94,2.26
23,23,Carnarvon,AU,2022-07-18 20:01:46,-24.8667,113.6333,62.69,65,0,13.73
24,24,Derzhavinsk,KZ,2022-07-18 20:01:47,51.1,66.3167,69.57,65,11,6.13
25,25,Butaritari,KI,2022-07-18 20:01:47,3.0707,172.7902,82.27,77,3,18.05
26,26,Kutum,SD,2022-07-18 20:01:48,14.2,24.6667,84.65,33,58,4.81
27,27,Kamenka,RU,2022-07-18 20:01:49,51.3223,42.7678,59.29,72,0,13.65
28,28,Kahului,US,2022-07-18 19:59:16,20.8947,-156.47,82.98,81,9,20.0
29,29,San Patricio,US,2022-07-18 20:01:51,28.017,-97.5169,98.19,44,41,15.95
30,30,Longyearbyen,SJ,2022-07-18 20:01:51,78.2186,15.6401,53.44,62,40,11.5
31,31,Berlevag,NO,2022-07-18 20:01:52,70.8578,29.0864,64.4,59,21,8.05
32,32,Mataura,NZ,2022-07-18 20:01:53,-46.1927,168.8643,42.48,97,100,0.22
33,33,Anloga,GH,2022-07-18 20:01:53,5.7947,0.8973,76.8,78,59,13.76
34,34,Marsa Matruh,EG,2022-07-18 20:01:54,31.3525,27.2453,77.4,78,0,13.44
