,City,Country,Max Temp,Lat,Lng,Hotel Name
3,Raymond,US,75.15,43.9015,-70.4703,Migis Lodge at Sebago Lake
5,Halifax,CA,78.49,44.6453,-63.5724,Hotel Halifax
20,Kapaa,US,82.72,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Katsuura,JP,79.03,35.1333,140.3,Katsuura Hotel Mikazuki
25,Butaritari,KI,82.27,3.0707,172.7902,Isles Sunset Lodge
26,Kutum,SD,84.65,14.2,24.6667,Dibbo areaمنطقة دبو
28,Kahului,US,82.98,20.8947,-156.47,Maui Seaside Hotel
33,Anloga,GH,76.8,5.7947,0.8973,Pin Drop Hotel
34,Marsa Matruh,EG,77.4,31.3525,27.2453,Beau Site
37,Georgetown,MY,83.89,5.4112,100.3354,Cititel Penang
38,Chapais,CA,86.31,49.7834,-74.8492,Hôtel Opémiska
39,Kavieng,PG,82.08,-2.5744,150.7967,Nusa Island Retreat
43,The Pas,CA,82.24,53.8251,-101.2541,Wescana Inn
45,Kulhudhuffushi,MV,80.78,6.6221,73.07,Haajy Guest House 1
47,Bathsheba,BB,86.61,13.2167,-59.5167,Atlantis Hotel
49,Albany,US,77.27,42.6001,-73.9662,
51,Arraial Do Cabo,BR,75.06,-22.9661,-42.0278,Pousada Porto Praia
55,Olinda,BR,78.53,-8.0089,-34.8553,Flat Quatro Rodas Olinda
57,Calabozo,VE,83.26,8.9242,-67.4293,Hotel Giardini
64,Bengkulu,ID,75.43,-3.8004,102.2655,Grage Hotel Bengkulu
69,Nara,JP,79.5,34.6851,135.8049,Guesthouse Nara Komachi
73,Atuona,PF,77.27,-9.8,-139.0333,Villa Enata
74,Aqtobe,KZ,86.09,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
77,Borger,NL,75.27,52.9233,6.7931,Roompot Bospark Lunsbergen
82,Artyom,AZ,80.74,40.4723,50.333,Pir hos
83,Les Cayes,HT,86.56,18.2,-73.75,Villa Orphee
85,Ploemeur,FR,87.89,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
86,Kabinda,CD,77.88,-6.1333,24.4833,Village Mianda Mutole
90,Vanimo,PG,75.99,-2.6741,141.3028,Vahmoneh Lodge Vanimo
92,Faanui,PF,76.82,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
94,Gat,IL,80.4,31.61,34.7642,OlusHome
97,Naranjal,EC,81.81,-2.6667,-79.6167,Media Naranja
101,Vaini,TO,75.36,-21.2,-175.2,Keleti Beach Resort
105,Djenne,ML,89.64,13.9061,-4.5533,Hôtel Chez Baba
109,Kavaratti,IN,80.01,10.5669,72.642,Green leaf
113,The Valley,AI,86.14,18.217,-63.0578,CeBlue Villas & Beach Resort
117,Hami,CN,77.43,42.8,93.45,Laoyutang Resort
120,Torbay,CA,78.89,47.6666,-52.7314,Gallows Cove
122,Tahta,EG,89.56,26.7693,31.5021,فندق الزيات
124,Merrill,US,89.37,45.1805,-89.6835,Prairie Motel
127,Bama,NG,82.69,11.5221,13.6856,UN Humanitarian Hub
128,Amahai,ID,75.49,-3.3333,128.9167,HOTEL ISABELA
131,Saint-Georges,GD,85.68,12.0564,-61.7485,Radisson Grenada Beach Resort
133,Sabha,LY,86.95,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
137,Camocim,BR,84.24,-2.9022,-40.8411,Ilha Praia Hotel
140,Abu Zabad,SD,79.09,12.35,29.25,حامد محمد نور
146,Great Yarmouth,GB,84.45,52.6083,1.7305,Comfort Hotel Great Yarmouth
152,Cabedelo,BR,75.87,-6.9811,-34.8339,Pousada Camboinha
154,Hobyo,SO,76.24,5.3505,48.5268,Iftin hotel hobyo
156,Wanning,CN,82.04,18.8003,110.3967,Paradise Hotel
160,Ayorou,NE,88.23,14.7308,0.9174,Hotel Amenokal
161,Kailua,US,84.18,21.4022,-157.7394,Sheffield House Bed & Breakfast
164,Portoferraio,IT,88.16,42.8115,10.3146,Hotel Villa Ombrosa
170,Axim,GH,75.27,4.8699,-2.2405,Axim Beach Resort And Spa
180,Boddam,GB,75.58,57.4667,-1.7833,Palace Hotel
185,Praia,CV,77.54,14.9215,-23.5087,LT Aparthotel
190,Hamilton,US,83.77,39.1834,-84.5333,Six Acres Bed & Breakfast
198,Bethel,US,77.77,41.3712,-73.414,Courtyard by Marriott Danbury
200,Tortoli,IT,78.58,39.9256,9.6572,Hotel La Bitta
203,Lompoc,US,87.01,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
204,Nahrin,AF,78.71,36.0649,69.1334,
208,Nishihara,JP,83.86,26.1842,127.7558,Minshuku Agaihama
212,Honiara,SB,76.55,-9.4333,159.95,Heritage Park Hotel
213,Gigmoto,PH,80.19,13.7796,124.39,Cj's Travellers Inn
215,Hithadhoo,MV,81.93,-0.6,73.0833,Scoop Guest House
216,Kudahuvadhoo,MV,81.3,2.6708,72.8944,Niyama Private Islands Maldives
223,Labuhan,ID,75.52,-6.8844,112.2051,DoubleFAG
228,Paragominas,BR,82.4,-2.9667,-47.4833,INOVA
230,Flin Flon,CA,85.15,54.7682,-101.865,Victoria Inn Flin Flon
233,Kochi,IN,75.02,9.9399,76.2602,Trident Hotel Cochin
235,Maceio,BR,80.04,-9.6658,-35.7353,Hotel Ponta Verde Maceió
236,Upata,VE,86.2,8.0086,-62.3989,Posada Villa Nela
238,Sao Joao Da Barra,BR,75.29,-21.6403,-41.0511,Pousada Porto De Canoas
244,Kushalgarh,IN,75.94,23.199,74.4507,Hotel Janvi
245,Shimoda,JP,77.11,34.6667,138.95,Shimoda Tokyu Hotel
246,Belvedere Marittimo,IT,79.12,39.6179,15.8617,La Marinella
248,Fortuna,US,75.92,40.5982,-124.1573,Super 8 by Wyndham Fortuna
249,Thasra,IN,79.52,22.8,73.2167,Sajjad Kureshi ( APNA PAAN 🚬 SENTER )
253,Cockburn Town,TC,85.96,21.4612,-71.1419,Osprey Beach Hotel
254,Petatlan,MX,89.4,17.5167,-101.2667,Hotel California Petatlán
259,Port-Gentil,GA,76.96,-0.7193,8.7815,Fengshui Residence
260,Westport,US,78.84,41.1415,-73.3579,The Westport Inn
266,Lang Son,VN,77.68,21.8333,106.7333,Khai Nga Hotel
267,La Rioja,ES,89.38,42.25,-2.5,Casa Concejos
269,Dingle,PH,75.67,10.9995,122.6711,SEGAYA PROPERTY
270,Zhezkazgan,KZ,79.23,47.8043,67.7144,Hotel Zumrat
271,Sarangani,PH,81.16,5.4033,125.4636,JVL Inn and Cafeteria
272,Sayan,PE,77.23,-11.1361,-77.1933,Hotel Restaurant Vanessa
